business_id,total_calls,completed,avg_duration,median_duration,short_18s,long_5m,completion_rate_%,short_18s_%,long_5m_%
00Z7Cxdgx82N10OPGy2x,4,4,3.44,3.565,0.0,0.0,100.0,0.0,0.0
01EAiU2ISXd5DQ5dxX2K,1,1,0.87,0.87,0.0,0.0,100.0,0.0,0.0
01gCDgUmMVjRVjrBOcv4,7,7,1.7129,1.08,0.0,0.0,100.0,0.0,0.0
06LeU3bR6P2QJierKstf,1,1,2.5,2.5,0.0,0.0,100.0,0.0,0.0
06YPCjWOxVUZ5sLyBSNl,1,1,,,0.0,0.0,100.0,0.0,0.0
082t3Tkb4LWQngCv4M0L,8,8,0.875,0.4,0.125,0.0,100.0,12.5,0.0
0AZSdwnXWrMh5jdNZ4LX,1,1,1.1,1.1,0.0,0.0,100.0,0.0,0.0
0AeqwL2rIyUVoj2XljFX,1,0,,,0.0,0.0,0.0,0.0,0.0
0D8yyIeuWq2EZLSTgaFy,4,4,3.5,4.095,0.0,0.25,100.0,0.0,25.0
0Ee2RlLIBg5t8Vfc7pYx,3,3,0.6533,0.67,0.0,0.0,100.0,0.0,0.0
0Er6ssjtUVRHwjYAAWU9,98,51,,,0.0,0.0,52.04,0.0,0.0
0HMN3azESVNe6wgLu8hL,1,1,1.35,1.35,0.0,0.0,100.0,0.0,0.0
0HO2DqdMEeGUZB8TlRiu,14,14,0.4833,0.175,0.2857142857142857,0.0,100.0,28.57,0.0
0NAFpfryoCVWwfOyo6jY,3,2,0.57,0.57,0.0,0.0,66.67,0.0,0.0
0NL9pORECZGDHo4AbMPY,2,2,3.2,3.2,0.0,0.0,100.0,0.0,0.0
0OkTTLTxFxMkeEqNMiiS,1,1,1.82,1.82,0.0,0.0,100.0,0.0,0.0
0SFsmCOWVWUAjQfbFH97,5,0,,,0.0,0.0,0.0,0.0,0.0
0SxSRTyRwuzxa1oT5c3j,30,30,0.7963,0.73,0.36666666666666664,0.0,100.0,36.67,0.0
0TsINfM7lHTB8aDnHCSa,3,3,3.45,3.45,0.0,0.0,100.0,0.0,0.0
0W10dnVaH8nnkug9611S,10,10,,,0.0,0.0,100.0,0.0,0.0
0W27gyw9nZW8JBDipBQ8,1,1,,,0.0,0.0,100.0,0.0,0.0
0X4vvdeJtbLGgYYvhiQ0,13,12,1.5033,1.29,0.07692307692307693,0.0,92.31,7.69,0.0
0XqDgCjw51huDqbY9BRo,1,1,0.52,0.52,0.0,0.0,100.0,0.0,0.0
0acMO42CUBB3CH6iVmTv,1,1,1.23,1.23,0.0,0.0,100.0,0.0,0.0
0bD54OaEnMSutaCCUZcw,1,0,,,0.0,0.0,0.0,0.0,0.0
0cDKHX6QtgANwGMoabPd,2,2,1.425,1.425,0.0,0.0,100.0,0.0,0.0
0dHSbfkS0nsor6TxTRxA,2,2,0.205,0.205,0.5,0.0,100.0,50.0,0.0
0eox7R3efXsRRrwU1yQk,8,6,2.526,2.55,0.0,0.0,75.0,0.0,0.0
0eq4mLYIxybh3gle3O8x,3,2,,,0.0,0.0,66.67,0.0,0.0
0f6QDSApEC1Ul6yIZ0gL,5,4,3.3225,3.53,0.0,0.0,80.0,0.0,0.0
0mXbHoNNmf5OZNc0LcpX,5,4,0.24,0.11,0.6,0.0,80.0,60.0,0.0
0n3W2YI28y3vchY8iAJe,5,5,0.678,0.5,0.2,0.0,100.0,20.0,0.0
0qgXndF6n79GaS4YsmBO,48,34,0.9871,0.43,0.041666666666666664,0.0,70.83,4.17,0.0
0sOOB0r00CroQTqyrbAN,5,5,1.424,1.87,0.4,0.0,100.0,40.0,0.0
0tPcbyU74NfQjY6jA2Pc,1,1,1.87,1.87,0.0,0.0,100.0,0.0,0.0
0u1ZvXZRaFqclZRfvNQX,2,1,,,0.0,0.0,50.0,0.0,0.0
0ydDiyxSVgx5pSIucFtF,4,4,0.5,0.5,0.0,0.0,100.0,0.0,0.0
0zrnvxd9PyyVBSBHXSOt,3,3,0.81,0.8,0.0,0.0,100.0,0.0,0.0
116iOZczZVSyBPky7AjW,4,4,1.5733,1.73,0.0,0.0,100.0,0.0,0.0
11SkhvkFjBNSPcYluso9,8,8,1.2012,1.385,0.0,0.0,100.0,0.0,0.0
12W3r3M3k8segcbBHjbi,1,1,0.3,0.3,0.0,0.0,100.0,0.0,0.0
14lFi9afuNc8N61rdVbM,1,1,0.75,0.75,0.0,0.0,100.0,0.0,0.0
16YSrOKEncvEfZJmDGNI,3,3,2.0567,3.0,0.3333333333333333,0.0,100.0,33.33,0.0
18GqfzZaDgKmzKuQyJMp,4,4,1.7375,1.94,0.0,0.0,100.0,0.0,0.0
18QHkqaXmYfszuJBEzUP,11,10,0.6211,0.42,0.2727272727272727,0.0,90.91,27.27,0.0
1FAOVhobGEB8bsY1WPeX,1,1,0.1,0.1,1.0,0.0,100.0,100.0,0.0
1Hl5j110zDWOaZMpRthB,2,2,0.965,0.965,0.5,0.0,100.0,50.0,0.0
1INUA3KtyNXBidexgPbM,2,2,1.155,1.155,0.0,0.0,100.0,0.0,0.0
1LOrYnMrrud6XsiMqIUr,11,11,2.4575,2.585,0.09090909090909091,0.0,100.0,9.09,0.0
1LzIoWP5scP3lbNTS2HQ,3,3,2.84,2.23,0.0,0.0,100.0,0.0,0.0
1MWihSO2USFVCcKeP6jy,10,9,1.3511,1.28,0.0,0.0,90.0,0.0,0.0
1Ni2o02fILGz1H8NQjef,1,1,0.88,0.88,0.0,0.0,100.0,0.0,0.0
1Wp5rxlKGnR39v9URswU,6,6,0.6667,0.63,0.16666666666666666,0.0,100.0,16.67,0.0
1XeBERV1EADJS2LZHkvr,5,5,1.086,0.23,0.6,0.0,100.0,60.0,0.0
1YuXNjATfxW5vhLfX1pq,1,1,4.75,4.75,0.0,0.0,100.0,0.0,0.0
1ZeN7oHdMwWQ0uW8WZty,10,10,0.928,0.65,0.1,0.0,100.0,10.0,0.0
1cL6nR3R1kEAAYollKlJ,1,1,2.45,2.45,0.0,0.0,100.0,0.0,0.0
1co0aNq8htjkpWfMPmb6,2,2,1.565,1.565,0.0,0.0,100.0,0.0,0.0
1dI54kiOKdcwTTXiXSny,1,1,0.67,0.67,0.0,0.0,100.0,0.0,0.0
1i71cMWNbo70Sqyvao5t,2,2,0.29,0.29,0.5,0.0,100.0,50.0,0.0
1kCusmS8t25CBlWq2Dcn,1,1,1.27,1.27,0.0,0.0,100.0,0.0,0.0
1mkSDz3UA7BOSx24RT8S,1,1,,,0.0,0.0,100.0,0.0,0.0
1mwkcy8hx2zRvvPSng6Q,1,1,0.1,0.1,1.0,0.0,100.0,100.0,0.0
1nIePymyc9oqgmey5s2k,1,1,0.27,0.27,1.0,0.0,100.0,100.0,0.0
1nYWe8m9dOcvHXqlR92G,6,6,3.3133,3.69,0.0,0.0,100.0,0.0,0.0
1nZTp57Y4YHTyeOSwkYZ,1,1,0.65,0.65,0.0,0.0,100.0,0.0,0.0
1nglyUQi3ozbleWBRMOB,2,2,0.945,0.945,0.0,0.0,100.0,0.0,0.0
1oDq3IugKIdIOmR1MWQd,16,16,0.99,0.785,0.125,0.0,100.0,12.5,0.0
1ryNxT3cJ6Colx0HpcLD,1,0,,,0.0,0.0,0.0,0.0,0.0
1sEdTAQtvkD9CAygfgFe,7,6,0.9275,0.55,0.14285714285714285,0.0,85.71,14.29,0.0
1yRzZSrRuGKl30uFZcPe,1,1,0.18,0.18,1.0,0.0,100.0,100.0,0.0
1zq2O9Gt66AiUP3Z4MWC,2,2,0.565,0.565,0.0,0.0,100.0,0.0,0.0
248oZZO9LhBayJsWluxB,4,4,0.1633,0.15,0.75,0.0,100.0,75.0,0.0
24iArgLPJbWejo30XRXa,6,5,1.43,1.46,0.0,0.0,83.33,0.0,0.0
255s0j7b2N8StjDZRaNk,2,2,,,0.0,0.0,100.0,0.0,0.0
258YiEN7pUhV03jwhQfx,4,4,0.27,0.11,0.75,0.0,100.0,75.0,0.0
25CrXQaDHbJVqAUb9yUL,1,1,3.18,3.18,0.0,0.0,100.0,0.0,0.0
26GNt3pWcTRFtboFkGuj,1,1,,,0.0,0.0,100.0,0.0,0.0
283J35prikevXsOt5cOa,10,8,0.4086,0.25,0.5,0.0,80.0,50.0,0.0
2BiG88hgH4EGAfpEVGJv,2,0,,,0.0,0.0,0.0,0.0,0.0
2ErGLHQRtVv1MKkIaqTR,7,6,1.915,1.915,0.0,0.0,85.71,0.0,0.0
2GzDGfg68EYn3E4c8qnk,2,2,1.02,1.02,0.5,0.0,100.0,50.0,0.0
2HCrAFgGAHZDMDQtklVN,1,1,1.55,1.55,0.0,0.0,100.0,0.0,0.0
2HyfenQu5uo7YtdMWL0d,1,0,,,0.0,0.0,0.0,0.0,0.0
2IlNCPymdCLX8WwLU7uF,1,1,,,0.0,0.0,100.0,0.0,0.0
2Ir1Hvz6nGn2WdGxfBxf,1,1,,,0.0,0.0,100.0,0.0,0.0
2JPnU8lAtmfFZte7VDip,2,2,0.45,0.45,0.0,0.0,100.0,0.0,0.0
2L5A4Bbh09cmAVv1VUSy,3,3,,,0.0,0.0,100.0,0.0,0.0
2LvK2rREiP0dzuPnnidB,4,3,,,0.0,0.0,75.0,0.0,0.0
2PY7KNH7s5P3b65whebw,53,33,0.1752,0.17,0.3584905660377358,0.0,62.26,35.85,0.0
2QmH5ixQY4DFzDFMMyMK,2,2,3.8,3.8,0.0,0.0,100.0,0.0,0.0
2RwO0h0VsjKSmcrA801D,2,2,3.7,3.7,0.0,0.0,100.0,0.0,0.0
2S0EscZAcP3CCscfvn36,1,1,2.98,2.98,0.0,0.0,100.0,0.0,0.0
2UCajnQrwkO5p9feebil,1,1,0.42,0.42,0.0,0.0,100.0,0.0,0.0
2UKkShG9N1BQxNrni2bp,1,1,4.47,4.47,0.0,0.0,100.0,0.0,0.0
2YRzI3svoUUDNUQfjZYp,1,1,4.97,4.97,0.0,0.0,100.0,0.0,0.0
2ZoSWOlXM53aS5z7oaYA,1,1,0.37,0.37,0.0,0.0,100.0,0.0,0.0
2bwVtWRCrpfCHw2ZcAKB,10,10,0.473,0.58,0.2,0.0,100.0,20.0,0.0
2c9e3RGxqNEdtZFfevLH,1,1,0.32,0.32,0.0,0.0,100.0,0.0,0.0
